event_id,rup_id,year,rlzi,structural
350,0,0,0,5.46774E+07
351,0,0,0,3.52603E+06
352,0,0,0,2.84818E+06
354,0,0,0,3.29119E+06
356,0,0,0,1.08152E+06
357,0,0,0,2.06693E+06
358,0,0,0,4.71594E+05
359,0,0,0,6.37813E+07
361,0,0,0,5.26476E+06
362,0,0,0,7.38614E+05
363,0,0,0,9.44251E+05
364,0,0,0,4.31034E+07
365,0,0,0,3.95498E+06
367,0,0,0,5.83236E+06
369,0,0,0,4.26855E+06
372,0,0,0,1.58852E+07
373,0,0,0,5.82790E+05
374,0,0,0,3.00043E+06
375,0,0,0,3.19827E+06
376,0,0,0,1.46352E+06
377,0,0,0,1.66840E+06
378,0,0,0,7.40199E+07
379,0,0,0,2.52770E+06
380,0,0,0,8.82086E+06
381,0,0,0,1.10719E+07
382,0,0,0,2.78254E+06
384,0,0,0,1.46962E+05
385,0,0,0,5.79779E+06
386,0,0,0,6.42587E+05
387,0,0,0,6.01916E+07
388,0,0,0,6.40813E+05
390,0,0,0,1.36823E+07
392,0,0,0,6.85689E+08
394,0,0,0,3.74585E+07
397,0,0,0,2.32205E+05
401,0,0,0,2.12092E+06
403,0,0,0,8.05650E+06
404,0,0,0,4.95091E+05
405,0,0,0,1.44055E+06
407,0,0,0,4.26914E+05
409,0,0,0,4.47449E+05
411,0,0,0,2.54887E+07
412,0,0,0,6.74659E+06
414,0,0,0,8.23828E+05
415,0,0,0,2.64248E+05
417,0,0,0,2.35039E+07
419,0,0,0,1.27905E+06
422,0,0,0,3.63297E+06
423,0,0,0,5.85117E+05
424,0,0,0,3.42807E+04
425,0,0,0,5.87787E+05
428,0,0,0,4.11076E+05
430,0,0,0,8.36037E+04
431,0,0,0,1.04901E+05
434,0,0,0,6.79300E+05
435,0,0,0,5.48617E+04
436,0,0,0,1.09738E+05
437,0,0,0,1.04892E+05
438,0,0,0,1.84207E+05
440,0,0,0,4.21914E+05
442,0,0,0,1.78460E+06
443,0,0,0,2.11028E+05
444,0,0,0,8.01475E+05
446,0,0,0,6.65901E+06
449,0,0,0,1.58246E+05
450,0,0,0,1.04960E+06
455,0,0,0,2.37104E+05
456,0,0,0,2.00007E+05
460,0,0,0,1.30374E+06
461,0,0,0,1.03379E+05
462,0,0,0,1.65797E+07
464,0,0,0,2.22643E+05
467,0,0,0,9.31848E+05
468,0,0,0,9.46835E+05
469,0,0,0,2.36084E+05
472,0,0,0,3.29435E+04
474,0,0,0,4.45044E+05
476,0,0,0,2.06454E+06
477,0,0,0,1.67388E+07
478,0,0,0,1.75421E+05
484,0,0,0,2.82400E+07
485,0,0,0,1.22790E+05
487,0,0,0,4.69955E+06
488,0,0,0,4.79757E+05
491,0,0,0,3.04241E+07
492,0,0,0,9.41960E+05
495,0,0,0,1.14065E+05
496,0,0,0,3.39779E+05
497,0,0,0,3.30661E+04
498,0,0,0,2.75040E+05
500,0,0,0,1.83335E+06
503,0,0,0,2.65160E+05
504,0,0,0,3.00396E+06
505,0,0,0,5.29299E+04
509,0,0,0,6.55428E+04
511,0,0,0,4.74738E+05
512,0,0,0,6.30468E+06
513,0,0,0,3.55824E+07
514,0,0,0,1.32082E+05
515,0,0,0,4.79804E+05
516,0,0,0,2.44606E+06
519,0,0,0,1.19960E+06
520,0,0,0,4.41887E+06
521,0,0,0,1.23101E+06
523,0,0,0,5.02401E+05
524,0,0,0,1.80680E+05
525,0,0,0,6.62650E+04
526,0,0,0,1.98918E+07
528,0,0,0,9.00206E+04
529,0,0,0,1.07270E+05
530,0,0,0,2.86703E+07
531,0,0,0,2.48640E+06
532,0,0,0,3.36177E+05
533,0,0,0,2.82176E+07
534,0,0,0,9.29101E+05
535,0,0,0,8.35289E+04
536,0,0,0,2.93559E+06
538,0,0,0,5.46207E+05
541,0,0,0,6.75331E+04
542,0,0,0,4.09356E+05
543,0,0,0,2.94427E+07
544,0,0,0,6.96284E+04
547,0,0,0,6.77231E+04
