eid,aid,mainshock,mag,lon,lat,depth
131,29,smf_E3,4.52827832857,-123.258920936,47.4504951676,6.83698005636
132,30,smf_E3,4.56082359852,-123.319111287,47.3298845658,17.8027851253
133,31,smf_E3,5.37836364419,-123.379752501,47.4989709443,10.2841747028
134,32,smf_E3,4.55122356245,-123.3549643,47.4079681577,4.06998371653
135,33,smf_E3,4.55257928748,-123.05706077,47.5495132557,8.38194911529
136,34,smf_E3,4.9812328285,-123.272576534,47.4186159267,13.5620638911
137,35,smf_E3,4.66556963677,-123.10906534,47.6924772592,16.7882554554
138,36,smf_E3,4.6020101714,-123.286729957,47.4797877765,6.13421787349
139,37,smf_E3,5.53442007426,-123.251163604,47.5605731836,5.76866183067
140,38,smf_E3,5.33983807209,-123.243777367,47.6199555932,18.7534824572
141,39,smf_E3,4.7208260852,-123.43891938,47.4987876636,16.0183738852
142,40,smf_E3,4.99931577854,-123.291894423,47.3949184132,13.4364736124
143,41,smf_E3,5.15386174592,-123.132512618,47.7062122778,16.3069886399
144,42,smf_E3,4.56576048976,-123.125626513,47.3939013659,10.8616697809
145,43,smf_E3,4.76964633223,-123.120758643,47.5190615826,16.1352919569
146,44,smf_E3,5.43707329908,-123.270359838,47.6031054016,9.94884786039
147,45,smf_E3,5.05155248907,-123.271017038,47.3891617968,7.90551315988
148,46,smf_E3,4.70712314267,-123.071534572,47.5131688221,15.6642147407
149,47,smf_E3,4.7270662575,-123.309990261,47.3744541101,10.7147566745
150,48,smf_E3,5.14992044278,-123.114222107,47.6085518236,19.7020336692
151,49,smf_E3,4.69162624111,-123.252560448,47.4589993869,9.59176291693
152,50,smf_E3,5.35388781158,-123.332732185,47.512636245,18.7476387285
153,51,smf_E3,5.44893720343,-123.207693623,47.6419784408,18.9274007771
154,52,smf_E3,4.54309917465,-123.183559274,47.5874557339,7.86964715304
155,53,smf_E3,4.70078148303,-123.254563581,47.3759086579,16.7715389054
156,54,smf_E3,5.03235969654,-123.410600211,47.5239577942,10.9291920823
157,55,smf_E3,4.87847290226,-123.076708561,47.5070040771,18.6803956357
158,56,smf_E3,5.0635035831,-123.129791807,47.4371331579,11.2019883622
159,57,smf_E3,5.73661614618,-122.950509101,47.5341474566,15.9088594774
160,58,smf_E3,4.58948784182,-123.111223102,47.592753995,11.4714785466
161,59,smf_E3,4.74476603452,-123.103754833,47.4438696229,7.64481209141
162,60,smf_E3,4.56518777606,-122.966343123,47.5356787794,7.18960206311
163,61,smf_E3,4.64846915547,-123.281131651,47.391645874,10.8068991081
164,62,smf_E3,4.50897944666,-123.232330465,47.4158129204,16.0879145122
165,63,smf_E3,4.88236902885,-123.390656469,47.432925868,13.6811437629
166,64,smf_E3,4.67226584479,-123.362890003,47.5236021112,15.0180686384
167,65,smf_E3,5.11876658362,-123.429874027,47.4635060511,8.51722161171
168,66,smf_E3,4.67055770578,-123.16451139,47.4516002209,11.7029655353
169,67,smf_E3,4.61015573658,-123.178094487,47.4372805897,4.71032423951
170,68,smf_E3,4.78136105758,-123.505893197,47.4818690586,17.0805186553
171,69,smf_E3,4.53341369685,-123.122864133,47.3747218499,19.8382745958
172,70,smf_E3,4.93246849032,-123.125851994,47.6893688246,10.510065002
173,71,smf_E3,4.99813028352,-123.214233992,47.3996302092,4.1754184501
174,72,smf_E3,5.05324949575,-123.459731938,47.4991196823,6.71668223282
175,73,smf_E3,4.54889493411,-123.276171418,47.4096657443,14.440430044
176,74,smf_E3,4.72533286616,-123.222557829,47.4784904927,13.7932690913
177,75,smf_E3,5.40143862658,-123.32740566,47.5091697331,16.6058355134
178,76,smf_E3,5.56938645445,-123.430184016,47.4020858133,8.06214417538
179,77,smf_E3,5.09115760105,-123.010463973,47.5667070686,16.2181106488
180,78,smf_E3,5.16567937065,-123.285402618,47.4806392014,15.0077443444
181,79,smf_E3,5.10220188383,-123.182436545,47.607851316,9.16503196342
182,80,smf_E3,4.5055403171,-123.147806106,47.3940972412,12.7278103689
183,81,smf_E3,4.86330003186,-123.112760197,47.3854477549,6.35638093597
184,82,smf_E3,4.88356735906,-123.064257422,47.5835417639,11.241032055
185,83,smf_E3,4.57058440541,-123.000569443,47.5125795243,18.0991574329
186,84,smf_E3,4.53186893255,-123.297185555,47.5130362062,10.7390620772
187,85,smf_E3,5.09836595422,-122.993454837,47.5418221315,17.4330673036
188,86,smf_E3,4.77332618542,-123.096591291,47.554291697,13.4440538442
189,87,smf_E3,4.81388703903,-123.253096502,47.3746378883,7.07002740964
190,88,smf_E3,4.63111275002,-123.151106349,47.5625278497,13.2976999152
