asset,lon,lat,taxonomy,number,structural,contents,area
53053071408-C2L-MC,-122.42044,47.10983,C2L-MC,4.8,1355,678,12
53053071408-MH-MC,-122.42044,47.10983,MH-MC,140.2,8033,4029,145
53053071408-RM1L-MC,-122.42044,47.10983,RM1L-MC,21.6,5028,2515,41
53053071408-S3-MC,-122.42044,47.10983,S3-MC,1.6,452,226,4
53053071408-W1-MC,-122.42044,47.10983,W1-MC,797.8,172265,86147,1340
53053071409-RM1L-PC,-122.41746,47.10071,RM1L-PC,0.8,213,106,2
53053071409-W1-PC,-122.41746,47.10071,W1-PC,35.4,8605,4303,61
53053071409-C2L-LC,-122.41746,47.10071,C2L-LC,1.2,530,265,4
53053071409-C3L-LC,-122.41746,47.10071,C3L-LC,0.6,266,133,2
53053071409-MH-LC,-122.41746,47.10071,MH-LC,5.1,586,294,7
53053071409-RM1L-LC,-122.41746,47.10071,RM1L-LC,12.1,3225,1613,23
53053071409-S3-LC,-122.41746,47.10071,S3-LC,0.4,169,84,1
53053071409-W1-LC,-122.41746,47.10071,W1-LC,536.8,130447,65231,931
53053071409-C2L-MC,-122.41746,47.10071,C2L-MC,1.9,834,417,6
53053071409-MH-MC,-122.41746,47.10071,MH-MC,7.9,921,463,11
53053071409-RM1L-MC,-122.41746,47.10071,RM1L-MC,19.0,5071,2536,36
53053071409-S3-MC,-122.41746,47.10071,S3-MC,0.6,266,133,2
53053071409-W1-MC,-122.41746,47.10071,W1-MC,844.1,205136,102579,1464
53053071410-MH-PC,-122.41994,47.08576,MH-PC,7.8,426,213,8
53053071410-RM1L-PC,-122.41994,47.08576,RM1L-PC,1.0,306,153,2
53053071410-W1-PC,-122.41994,47.08576,W1-PC,45.1,12205,6103,82
53053071410-C2L-LC,-122.41994,47.08576,C2L-LC,0.7,295,147,2
53053071410-C3L-LC,-122.41994,47.08576,C3L-LC,0.6,230,115,2
53053071410-MH-LC,-122.41994,47.08576,MH-LC,45.7,2491,1247,46
53053071410-RM1L-LC,-122.41994,47.08576,RM1L-LC,6.1,1788,894,12
53053071410-W1-LC,-122.41994,47.08576,W1-LC,263.9,71419,35711,478
53053071410-C2L-MC,-122.41994,47.08576,C2L-MC,3.4,1520,761,11
53053071410-MH-MC,-122.41994,47.08576,MH-MC,235.6,12849,6430,239
53053071410-RM1L-MC,-122.41994,47.08576,RM1L-MC,31.7,9222,4612,62
53053071410-S3-MC,-122.41994,47.08576,S3-MC,1.0,396,198,3
53053071410-W1-MC,-122.41994,47.08576,W1-MC,1361.2,368398,184207,2465
53053071411-MH-PC,-122.40885,47.07182,MH-PC,1.5,76,38,1
53053071411-W1-PC,-122.40885,47.07182,W1-PC,6.4,1644,822,11
53053071411-MH-LC,-122.40885,47.07182,MH-LC,43.9,2253,1127,44
53053071411-RM1L-LC,-122.40885,47.07182,RM1L-LC,3.9,1010,505,7
53053071411-W1-LC,-122.40885,47.07182,W1-LC,187.6,48487,24245,330
53053071411-C2L-MC,-122.40885,47.07182,C2L-MC,0.6,130,65,1
53053071411-MH-MC,-122.40885,47.07182,MH-MC,252.2,12946,6476,251
53053071411-RM1L-MC,-122.40885,47.07182,RM1L-MC,22.6,5805,2903,40
53053071411-W1-MC,-122.40885,47.07182,W1-MC,1078.0,278593,139307,1893
53033025601-C3L-PC,-122.17487,47.48275,C3L-PC,0.3,782,391,4
53033025601-MH-PC,-122.17487,47.48275,MH-PC,12.1,698,349,12
53033025601-RM1L-PC,-122.17487,47.48275,RM1L-PC,0.7,335,168,2
53033025601-W1-PC,-122.17487,47.48275,W1-PC,29.9,9900,4950,62
53033025601-C2L-MC,-122.17487,47.48275,C2L-MC,2.1,4054,2027,22
53033025601-MH-MC,-122.17487,47.48275,MH-MC,419.1,24271,12145,432
53033025601-RM1L-MC,-122.17487,47.48275,RM1L-MC,23.1,11644,5823,69
53033025601-S3-MC,-122.17487,47.48275,S3-MC,0.6,1241,621,7
53033025601-W1-MC,-122.17487,47.48275,W1-MC,1038.7,344010,172022,2145
53033025602-RM1L-PC,-122.14888,47.47771,RM1L-PC,0.8,250,125,2
53033025602-W1-PC,-122.14888,47.47771,W1-PC,43.4,12823,6412,81
53033025602-MH-MC,-122.14888,47.47771,MH-MC,38.1,1943,979,38
