GEOID10,INTPTLAT10,INTPTLON10
53053071403,+47.1155465,-122.4489870
53053070207,+47.1508943,-122.0115296
53053071209,+47.1635255,-122.2649720
53053072406,+47.3077702,-122.6229472
53053061601,+47.2542282,-122.4402346
53053061800,+47.2267887,-122.4518296
53053072603,+47.1876657,-122.6960086
53053072602,+47.3084174,-122.7610669
53053072601,+47.3762038,-122.7506193
53053061500,+47.2621959,-122.4494502
53053072503,+47.3846855,-122.6607818
53053061300,+47.2500153,-122.4589966
53053061700,+47.2378480,-122.4584513
53053070307,+47.2048941,-122.1282680
53053061602,+47.2401479,-122.4377427
53053070308,+47.1839320,-122.1780732
53053072305,+47.2311155,-122.5158342
53053062801,+47.2222193,-122.4973623
53053071210,+47.1707139,-122.2423900
53053071307,+47.1493363,-122.3334484
53053062802,+47.1940103,-122.4964480
53053063400,+47.1809619,-122.4314571
53053072108,+47.1454232,-122.5576115
53053071408,+47.1098273,-122.4204449
53053073114,+47.0308050,-122.3745408
53053071503,+47.1333060,-122.4516947
53053061400,+47.2502435,-122.4483264
53053940002,+47.2490363,-122.3642571
53053072313,+47.2136116,-122.5174316
53053071806,+47.1443886,-122.5053556
53053062500,+47.2149304,-122.4522073
53053072111,+47.1661657,-122.5908460
53053072112,+47.1605593,-122.5773633
53053940011,+47.3011330,-122.4160048
53053071805,+47.1599265,-122.5002916
53053060600,+47.2733562,-122.4580971
53053061100,+47.2455764,-122.4936719
53053072312,+47.2042886,-122.5203211
53053071808,+47.1783530,-122.4746903
53053071807,+47.1695266,-122.4954820
53053073123,+47.0903198,-122.2431361
53053070404,+47.1116228,-122.2200468
53053070403,+47.0801301,-122.2071121
53053070313,+47.2078839,-122.1936980
53053070314,+47.2300552,-122.1944515
53053070315,+47.2379348,-122.1632180
53053070316,+47.2472590,-122.2206713
53053073125,+47.0793129,-122.3165830
53053072903,+47.1289002,-122.6057942
53053071407,+47.0618192,-122.3511337
53053060800,+47.2655960,-122.4963465
53053073119,+46.9720079,-122.2136590
53053072507,+47.3287892,-122.5856632
53053072409,+47.2832879,-122.6150485
53053071406,+47.0733893,-122.3822004
53053073126,+47.0907184,-122.3014937
53053073408,+47.1994555,-122.3202118
53053073406,+47.1839926,-122.2645159
53053073121,+47.1034997,-122.3054274
53053071310,+47.1314507,-122.3461628
53053071309,+47.1150434,-122.3403114
53053072906,+47.0454568,-122.5519881
53053940004,+47.2077761,-122.3725062
53053071206,+47.1661273,-122.3239650
53053062300,+47.2142233,-122.4167847
53053060200,+47.2668489,-122.4078355
53053060904,+47.2806538,-122.5091286
53053061002,+47.2462062,-122.5223595
53053061001,+47.2539480,-122.5485229
53053070312,+47.1665638,-122.2056856
53053940003,+47.2287315,-122.3450761
53053073120,+47.1162824,-122.2980948
53053073122,+47.1057866,-122.2741687
53053073405,+47.1745628,-122.2781059
53053073407,+47.1983845,-122.2976951
53053073124,+47.0645059,-122.3041250
53053070703,+47.2489124,-122.3177058
53053071306,+47.1240725,-122.3793226
53053073301,+47.2248304,-122.2363016
53053060700,+47.2613730,-122.4785267
53053072310,+47.2295839,-122.5435661
53053072000,+47.1229256,-122.5401796
53053073118,+47.0448354,-122.2375969
53053072905,+47.0909343,-122.6067137
53053072907,+47.1060657,-122.5398907
53053073500,+47.2320641,-122.2738310
53053061900,+47.2276734,-122.4341708
53053070310,+47.1607452,-122.1649269
53053072901,+47.1298545,-122.4905632
53053071602,+47.1599423,-122.4182984
53053071305,+47.1506822,-122.3862320
53053073117,+46.9669034,-122.3256853
53053072505,+47.3769849,-122.5993723
53053940005,+47.2791894,-122.3721534
53053060500,+47.2752080,-122.4754377
53053060905,+47.2665694,-122.5335814
53053060906,+47.2632968,-122.5098129
53053060903,+47.2860173,-122.5263961
53053060400,+47.2852555,-122.4851483
53053063100,+47.1974147,-122.4517800
53053070205,+47.1593963,-122.0886541
53053071207,+47.1604416,-122.2781334
53053063200,+47.1989933,-122.4321664
53053071505,+47.1323773,-122.4235678
53053070311,+47.1573307,-122.1379143
53053940009,+47.2297400,-122.3127618
53053940008,+47.2939997,-122.3954600
53053070204,+47.1390217,-122.1299688
53053071304,+47.1330146,-122.3093647
53053071707,+47.1547535,-122.4423065
53053070203,+47.1299811,-122.1842540
53053071100,+47.1747129,-122.3718732
53053940001,+47.3053995,-122.4435979
53053071205,+47.1870716,-122.3416388
53053071208,+47.1421826,-122.2715319
53053062400,+47.2145262,-122.4337774
53053063300,+47.1990218,-122.4086992
53061041810,+47.8860716,-122.2490656
53061051924,+47.8189150,-122.1962239
53061051922,+47.8110567,-122.2248515
53061051921,+47.8208453,-122.2204838
53061051926,+47.7937206,-122.1619665
53061052115,+47.8698349,-122.1561804
53061052114,+47.8506574,-122.1549290
53061052209,+47.8308302,-122.0133223
53061052709,+48.0899357,-122.0985926
53061053604,+48.0805090,-122.0070461
53061053603,+48.0468633,-122.0181814
53061052906,+48.0691980,-122.1536756
53061053508,+48.1874425,-122.1660906
53061052905,+48.0674688,-122.1733772
53061041809,+47.8917497,-122.2455166
53061051928,+47.8434058,-122.2480891
53061041303,+47.9408220,-122.2465469
53061051923,+47.8327478,-122.2090256
53061051925,+47.7949205,-122.1910322
53061052208,+47.8564399,-121.9845322
53061052708,+48.0626285,-122.1301068
53061053507,+48.1643568,-122.1298558
53061053509,+48.1633405,-122.1616238
53061040500,+47.9849396,-122.1815113
53061052003,+47.8522285,-122.1797467
53061052118,+47.8662947,-122.1319588
53061990100,+48.2830295,-122.4109963
53061041304,+47.9448887,-122.2664436
53061990002,+48.0002690,-122.3350510
