USPS,GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
WA,53053071209,2324686,0,0.898,0,47.1635255,-122.264972
WA,53053071210,8632041,50462,3.333,0.019,47.1707139,-122.24239
WA,53053071304,5346451,27397,2.064,0.011,47.1330146,-122.3093647
WA,53053071305,9953802,9826,3.843,0.004,47.1506822,-122.386232
WA,53053071306,12236868,0,4.725,0,47.1240725,-122.3793226
WA,53053071307,5202526,15994,2.009,0.006,47.1493363,-122.3334484
WA,53053071309,4133642,0,1.596,0,47.1150434,-122.3403114
WA,53053071310,6498029,4136,2.509,0.002,47.1314507,-122.3461628
WA,53053071403,5125813,969981,1.979,0.375,47.1086836,-122.4515591
WA,53053071406,16419736,45075,6.34,0.017,47.0733893,-122.3822004
WA,53053071407,8440952,0,3.259,0,47.0618192,-122.3511337
WA,53053071408,2923853,0,1.129,0,47.1098273,-122.4204449
WA,53053071409,2125874,0,0.821,0,47.1007056,-122.4174613
WA,53053071410,5863768,0,2.264,0,47.0857643,-122.4199422
WA,53053071411,3379475,0,1.305,0,47.0718234,-122.4088549
WA,53053071503,5629954,74482,2.174,0.029,47.1333392,-122.4519069
WA,53053071504,2651531,0,1.024,0,47.145689,-122.4452788
WA,53053071505,4496258,0,1.736,0,47.1323773,-122.4235678
WA,53053071506,3932087,0,1.518,0,47.1216337,-122.4054248
WA,53053071601,4032412,0,1.557,0,47.1797628,-122.4100405
WA,53053071602,4693478,0,1.812,0,47.1599423,-122.4182984
WA,53053071703,870866,50966,0.336,0.02,47.1709835,-122.463994
WA,53053071704,1352620,0,0.522,0,47.1638216,-122.4667714
WA,53053071705,2389705,0,0.923,0,47.1641662,-122.4433982
WA,53053071706,1622806,0,0.627,0,47.1564999,-122.4672848
WA,53053071707,1269313,0,0.49,0,47.1547535,-122.4423065
WA,53053071803,4601876,0,1.777,0,47.1847255,-122.5078626
WA,53053071805,1349188,0,0.521,0,47.1599265,-122.5002916
WA,53053071806,1706398,0,0.659,0,47.1443886,-122.5053556
WA,53053071807,4143029,98497,1.6,0.038,47.1695266,-122.495482
WA,53053071808,1955311,118426,0.755,0.046,47.1783805,-122.4746903
WA,53053071901,4157485,17400,1.605,0.007,47.1580824,-122.5177253
WA,53053071902,6314495,2751449,2.438,1.062,47.1530137,-122.5374064
WA,53053072000,2686177,473449,1.037,0.183,47.1229256,-122.5401796
WA,53053072105,4670507,15487,1.803,0.006,47.1871468,-122.553261
WA,53053072106,3402636,0,1.314,0,47.186136,-122.533961
WA,53053072107,4886681,160237,1.887,0.062,47.1707661,-122.5576655
WA,53053072108,3239185,949007,1.251,0.366,47.1454232,-122.5576115
WA,53053072109,4068578,10524354,1.571,4.063,47.1655467,-122.6131385
WA,53053072111,1947576,0,0.752,0,47.1661656,-122.590846
WA,53053072112,2407947,0,0.93,0,47.1605593,-122.5773633
WA,53053072305,4066558,0,1.57,0,47.2311155,-122.5158342
WA,53053072307,1953747,0,0.754,0,47.2165495,-122.5529414
WA,53053072308,7758469,9209648,2.996,3.556,47.2057027,-122.5747949
WA,53053072309,3382204,2143024,1.306,0.827,47.23141,-122.564052
WA,53053072310,2098981,0,0.81,0,47.2295839,-122.5435661
WA,53053072311,2443700,6948,0.944,0.003,47.231509,-122.5321758
WA,53053072312,2470373,0,0.954,0,47.2042886,-122.5203211
WA,53053072313,2558623,0,0.988,0,47.2136116,-122.5174316
WA,53053072405,12241502,14959827,4.726,5.776,47.2956531,-122.6750802
WA,53053072406,16778309,13279,6.478,0.005,47.3077678,-122.6229438
WA,53053072407,5520661,4000033,2.132,1.544,47.2984272,-122.5635095
WA,53053072408,15306277,5137067,5.91,1.983,47.2877721,-122.5899161
WA,53053072409,5871769,2575243,2.267,0.994,47.2832879,-122.6150485
WA,53053072410,13514703,24930840,5.218,9.626,47.2576863,-122.6465524
WA,53053072503,16417186,6109883,6.339,2.359,47.3846855,-122.6607818
WA,53053072504,15040152,7593124,5.807,2.932,47.3409027,-122.63304
WA,53053072505,21680408,3475,8.371,0.001,47.3769849,-122.5993723
WA,53053072506,15317116,12160534,5.914,4.695,47.3689165,-122.5482413
WA,53053072507,4228809,1501891,1.633,0.58,47.3287892,-122.5856632
WA,53053072601,44218459,2429781,17.073,0.938,47.3762038,-122.7506193
WA,53053072602,43250541,38607070,16.699,14.906,47.3084173,-122.7610668
WA,53053072603,90877305,108290399,35.088,41.811,47.2097395,-122.6844223
WA,53053072800,17822349,5762840,6.881,2.225,47.1039087,-122.6651308
WA,53053072901,18236444,3086,7.041,0.001,47.1298545,-122.4905632
WA,53053072903,26690479,3106104,10.305,1.199,47.1293195,-122.6014267
WA,53053072905,5809018,0,2.243,0,47.0909312,-122.6066899
WA,53053072906,227912865,2573416,87.998,0.994,47.0238478,-122.5666818
WA,53053072907,16190481,0,6.251,0,47.1060657,-122.5398907
WA,53053073001,64400238,947152,24.865,0.366,46.9698738,-122.4998747
WA,53053073005,53829359,74036,20.784,0.029,46.9733128,-122.3874177
