site_id,lon,lat
844,-122.14126,47.55085
845,-122.14073,47.4981
846,-122.13791,47.15733
847,-122.13754,47.61861
848,-122.13501,47.66339
849,-122.13382,47.68562
850,-122.13372,47.56537
851,-122.13196,47.86629
852,-122.13179,46.83964
853,-122.13127,47.64393
854,-122.13048,47.45329
855,-122.13011,48.06263
856,-122.12991,47.30639
857,-122.12986,48.16436
858,-122.12896,47.60035
859,-122.1282,47.21204
860,-122.12769,47.14247
861,-122.12707,47.61796
862,-122.12633,47.71792
863,-122.12445,47.75648
864,-122.12116,48.00869
865,-122.11998,47.68553
866,-122.11878,47.93471
867,-122.1186,48.12453
868,-122.11839,47.63661
869,-122.11782,47.40853
870,-122.11674,47.36401
871,-122.11602,47.9865
872,-122.11526,47.38233
873,-122.11499,48.02617
874,-122.11419,47.58056
875,-122.11177,47.6986
876,-122.11131,47.96583
877,-122.11087,47.48218
878,-122.11032,47.59727
879,-122.10798,47.55675
880,-122.1077,48.181
881,-122.10628,47.78488
882,-122.10496,47.68648
883,-122.10276,47.83122
884,-122.10253,48.05234
885,-122.10098,47.62235
886,-122.09921,47.63837
887,-122.09868,47.52692
888,-122.09859,48.08994
889,-122.09785,47.726
890,-122.09613,47.87708
891,-122.09554,47.9256
892,-122.09431,47.43624
893,-122.0937,47.99873
894,-122.09212,47.10957
895,-122.09076,47.75801
896,-122.08952,47.91506
897,-122.08901,47.67051
898,-122.08865,47.1594
899,-122.08777,47.56679
900,-122.08595,47.33121
901,-122.08509,48.03182
902,-122.08479,47.37323
903,-122.08035,47.34992
904,-122.07858,47.70076
905,-122.0745,47.96883
906,-122.0716,47.80155
907,-122.07125,47.63922
908,-122.06947,47.59545
909,-122.06749,47.25201
910,-122.06708,47.39078
911,-122.06677,48.01911
912,-122.06377,47.46436
913,-122.0603,47.58349
914,-122.05895,47.2047
915,-122.05315,47.50512
916,-122.05203,47.42519
917,-122.04925,47.36451
918,-122.04885,48.00407
919,-122.04828,47.53881
920,-122.04798,47.62762
921,-122.04658,47.32325
922,-122.04615,47.56058
923,-122.04613,47.66416
924,-122.04341,47.71006
925,-122.0403,48.10976
926,-122.03875,47.7515
927,-122.0323,47.35439
928,-122.03221,47.912
929,-122.03208,47.63507
930,-122.03008,47.36713
931,-122.02971,47.68366
932,-122.02325,47.37802
933,-122.0215,47.60288
934,-122.02122,47.79268
935,-122.01936,47.57982
936,-122.01839,47.86677
937,-122.01814,48.04681
938,-122.01797,47.96156
939,-122.01332,47.83083
940,-122.01189,47.18598
941,-122.01153,47.15089
942,-122.00829,47.5695
943,-122.00705,48.08051
944,-121.99185,47.32364
945,-121.9891,47.67593
946,-121.98891,47.20664
947,-121.98872,47.5868
948,-121.98651,47.60622
949,-121.98453,47.85644
950,-121.98238,48.20115
951,-121.98004,47.87822
952,-121.97475,48.5742
953,-121.96578,47.48515
954,-121.96405,47.55118
955,-121.95354,48.38388
956,-121.94866,47.70505
957,-121.94787,47.74632
958,-121.93806,47.92724
959,-121.92599,47.44094
960,-121.87914,47.32038
961,-121.87833,47.53507
962,-121.87782,47.90215
963,-121.86994,47.58153
964,-121.83061,47.70197
965,-121.82464,47.86678
966,-121.81787,47.51438
967,-121.81655,46.95583
968,-121.77174,47.49409
969,-121.67826,48.01231
970,-121.64921,47.89556
971,-121.63445,47.24029
972,-121.49906,47.46318
973,-121.49038,48.84989
974,-121.44641,47.87287
975,-121.44167,48.23711
976,-121.43128,47.65307
977,-121.32937,48.49945
