eid,aid,mainshock,mag,lon,lat,depth
199,137,DDMFZ_EQ1,4.65067503047,-121.368084791,48.3018935356,11.2793650783
200,138,DDMFZ_EQ1,4.63772916224,-122.75791131,48.5455740213,9.69885654925
201,139,DDMFZ_EQ1,4.86332797882,-122.853722363,48.5348304545,19.1534007516
202,140,DDMFZ_EQ1,4.6395672624,-122.054413824,48.3222362176,13.6465409828
203,141,DDMFZ_EQ1,5.27716487058,-122.072882365,48.3341198846,13.265160443
204,142,DDMFZ_EQ1,4.78287750604,-122.096346333,48.4398932528,7.7104179483
205,143,DDMFZ_EQ1,4.70027439406,-122.908211759,48.4791871001,4.74716508616
206,144,DDMFZ_EQ1,4.85699802636,-121.562497339,48.2414353324,19.1230172762
207,145,DDMFZ_EQ1,5.31314747062,-123.414306904,48.447734705,9.01976414151
208,146,DDMFZ_EQ1,5.73287395808,-121.820727779,48.4696543956,11.0814243732
209,147,DDMFZ_EQ1,4.65650457747,-122.474674148,48.4771906749,5.83423909737
210,148,DDMFZ_EQ1,4.92538458804,-121.706100368,48.4964697565,17.3907892785
211,149,DDMFZ_EQ1,4.504398812,-123.10324245,48.5538025175,4.44210932569
212,150,DDMFZ_EQ1,5.42951828753,-121.820708171,48.4787771718,17.3438521936
213,151,DDMFZ_EQ1,4.50291888613,-121.606364343,48.2595073697,6.24456020461
214,152,DDMFZ_EQ1,4.83775170051,-123.308887942,48.572138289,18.1850258021
215,153,DDMFZ_EQ1,4.54341757226,-123.320793181,48.3565397997,15.6763621974
216,154,DDMFZ_EQ1,4.86576259566,-122.246865957,48.451517618,6.63472420012
217,155,DDMFZ_EQ1,5.71809208054,-122.964611153,48.456329707,13.0530878858
218,156,DDMFZ_EQ1,4.81704561448,-122.631652974,48.3915939355,9.00250102968
219,157,DDMFZ_EQ1,4.6269225887,-123.26584276,48.5912495814,6.85172958259
220,158,DDMFZ_EQ1,4.82884458823,-122.030144381,48.4803655798,17.7469151906
221,159,DDMFZ_EQ1,5.38524662839,-122.570432834,48.2938655046,10.4563642641
222,160,DDMFZ_EQ1,5.53093958877,-122.445010659,48.4518903723,10.3766994298
223,161,DDMFZ_EQ1,5.09149141088,-122.148677833,48.3538052662,6.71818679691
224,162,DDMFZ_EQ1,5.4577670814,-123.353710973,48.4732349012,10.1290508174
225,163,DDMFZ_EQ1,4.68452215114,-121.706177598,48.4442444291,17.9458695413
226,164,DDMFZ_EQ1,4.89002544612,-121.706855464,48.295191882,9.81005936783
227,165,DDMFZ_EQ1,4.56090981822,-122.646740729,48.5551013151,19.225657
228,166,DDMFZ_EQ1,4.65582830949,-122.876795276,48.3672340138,19.1409423873
